Code,Country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,GDP_Growth,Passangers,Pass_change
AUS,Australia,EDUTRY,25_34,PC_AGE,A,1998,28.1396,,#N/A,30185700,NA
AUS,Australia,EDUTRY,25_34,PC_AGE,A,1999,28.9816,,5.0181,31579700,0.046180807
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2000,31.3725,,3.9432,32577569,0.031598432
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2001,33.5119,,1.9331,33477398,0.027621122
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2002,35.7973,,4.0030,39021581,0.165609735
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2003,36.3228,,2.9857,41386432,0.06060367
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2004,36.1682,,4.0011,41596552,0.005077026
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2005,38.0983,,3.1903,44657324,0.073582349
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2006,38.8041,,2.8342,46951775,0.051379053
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2007,40.7289,,3.7773,48728837,0.037848665
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2008,41.9968,,3.6578,51488427,0.056631559
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2009,44.7785,,1.9227,50026967,-0.028384243
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2010,44.3748,,2.0529,60640913,0.212164491
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2011,44.6155,,2.4511,63360310.34,0.044844268
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2012,47.2311,,3.8919,66355274,0.047268766
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2013,45.7452,,2.6395,68197955,0.027769925
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2014,48.1314,,2.5583,68123237.67,-0.001095595
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2015,48.4663,,2.3511,69779346,0.024310476
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2016,49.3052,,2.8273,72446421,0.038221553
AUS,Australia,EDUTRY,25_34,PC_AGE,A,2017,51.9891,,1.9576,74257326,0.024996473
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2004,30.4734,,2.7351,7619372,NA
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2005,30.5710,,2.2441,8037890,0.054928149
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2006,31.5188,,3.4540,8785116,0.092962954
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2007,31.0659,,3.7274,9140909,0.040499522
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2008,32.6807,,1.4604,9140680,-2.50522E-05
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2009,33.4087,,-3.7646,8520740,-0.067822088
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2010,33.8638,,1.8371,13493793,0.583640975
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2011,34.8084,,2.9228,14088251.66,0.04405423
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2012,36.1278,,0.6804,14518841.05,0.030563721
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2013,38.6661,,0.0255,15037454,0.035719996
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2014,38.4031,,0.8287,15210489,0.011506935
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2015,38.6268,,1.0919,14718641,-0.032336107
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2016,39.6710,,1.4509,14724774,0.000416682
AUT,Austria,EDUTRY,25_34,PC_AGE,A,2017,40.3247,,3.0353,16171640,0.098260659
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2000,36.0206,,3.6337,10738119,NA
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2001,37.5061,,0.8115,8489007,-0.209451208
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2002,37.6440,,1.7805,2341816,-0.724135461
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2003,38.9102,,0.7746,2904114,0.240111947
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2004,40.7303,,3.6347,3264582,0.124123227
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2005,40.6059,,2.0943,3340509,0.023257801
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2006,41.8634,,2.5061,3641155,0.090000057
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2007,41.3390,,3.4490,4078094,0.12000011
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2008,42.2714,,0.7832,5878585,0.441503065
BEL,Belgium,EDUTRY,25_34,PC_AGE,A,2009,42.4843,,-2.2532,4858700,-0.17349158
