Date,USD_JPY,CPI,change_USD_JPY,change_CPI
1-Oct,211.55,3.22887,-0.022863741,0.027367774
1-Nov,202.1,3.51377,-0.044670291,0.088235203
1-Dec,200.25,3.798671,-0.009153884,0.081081289
1-Jan,192.3,3.886256,-0.039700375,0.023056748
1-Feb,180.55,3.113208,-0.061102444,-0.198918445
1-Mar,170.52,2.255639,-0.055552479,-0.275461518
1-Apr,167.54,1.590271,-0.017475956,-0.294979826
1-May,174.17,1.491146,0.039572639,-0.062332143
1-Jun,163.47,1.765799,-0.061434231,0.184189207
1-Jul,153.8,1.576994,-0.059154585,-0.106923268
1-Aug,154.47,1.574074,0.004356307,-0.001851624
1-Sep,154.01,1.754386,-0.002977925,0.114551158
1-Oct,163.29,1.471941,0.060255828,-0.160993647
1-Nov,161.47,1.284404,-0.011145814,-0.12740796
1-Dec,157.47,1.097896,-0.024772404,-0.145209763
1-Jan,153.58,1.459854,-0.024703118,0.329683322
1-Feb,153.15,2.1043,-0.002799844,0.441445514
1-Mar,145.78,3.033088,-0.048122755,0.44137623
1-Apr,140.74,3.775322,-0.034572644,0.24471232
1-May,143.88,3.856749,0.022310644,0.021568226
1-Jun,146.83,3.652968,0.020503197,-0.052837506
1-Jul,149.98,3.926941,0.021453381,0.07500011
1-Aug,142.44,4.284412,-0.05027337,0.091030397
1-Sep,146.44,4.355717,0.028081999,0.016642891
1-Oct,138.3,4.533092,-0.055585905,0.040722343
1-Nov,132.29,4.528986,-0.043456255,-0.000905784
1-Dec,121.01,4.434389,-0.085267216,-0.020887015
1-Jan,127.97,4.046762,0.057515908,-0.087413847
1-Feb,128.19,3.942652,0.001719153,-0.025726742
1-Mar,124.28,3.925067,-0.030501599,-0.004460196
1-Apr,125.09,3.90417,0.006517541,-0.005323986
1-May,125.17,3.890363,0.00063954,-0.003536475
1-Jun,133.12,3.964758,0.063513621,0.019122894
1-Jul,133.15,4.130053,0.000225361,0.041691069
1-Aug,136.49,4.020979,0.025084491,-0.026409831
1-Sep,134.6,4.173913,-0.013847168,0.038034021
1-Oct,125.53,4.249783,-0.067384844,0.018177188
1-Nov,121.39,4.2461,-0.032980164,-0.000866632
1-Dec,124.93,4.419411,0.029162204,0.040816514
1-Jan,130.27,4.667243,0.042743937,0.056078061
1-Feb,126.83,4.827586,-0.026406694,0.034354971
1-Mar,132.71,4.978541,0.046361271,0.031269251
1-Apr,133.01,5.123826,0.002260568,0.029182244
1-May,142.84,5.361702,0.073904218,0.046425464
1-Jun,143.93,5.169491,0.007630916,-0.035848878
1-Jul,137.11,4.978903,-0.047384145,-0.036867846
1-Aug,144.89,4.705883,0.056742761,-0.054835372
1-Sep,139.03,4.340568,-0.040444475,-0.077629427
1-Oct,142.85,4.492513,0.027476084,0.035005787
1-Nov,142.82,4.655029,-0.000210011,0.036174854
1-Dec,143.9,4.647303,0.007561966,-0.00165971
1-Jan,144.45,5.202312,0.003822099,0.119426041
1-Feb,149.07,5.263158,0.031983385,0.011695954
1-Mar,158.45,5.233034,0.062923459,-0.00572356
1-Apr,158.96,4.711617,0.003218681,-0.099639521
1-May,152.17,4.361874,-0.042715148,-0.07422993
1-Jun,152.19,4.67365,0.000131432,0.071477535
1-Jul,145.64,4.823151,-0.043038307,0.031988061
