fds,Ticker,Name,Price-to-Earnings,Price-to-Book,Book-to-Market,Dividends,Div_per_share,Common shares,Ave_shares_diluted,MCAP,Total-_Equity,Book_value_per_share,Sectore
1,FLWS,1 800 FLOWERS COM INC,20.83,2.72,0.37,0.00,0.00,64591371.00,66854500.00,720.84,295.98,4.58,Retail - Apparel & Specialty
1,SRCE,1ST SOURCE CORP,15.07,1.59,0.63,-24.39,0.94,25965746.00,25952840.00,,750.44,28.92,Banks
1,FOX,21st Century Fox,18.54,4.14,0.24,-1020.00,0.55,1852574153.00,1859500000.00,84236.55,21924.00,11.17,Entertainment
1,DDD,3D SYSTEMS CORP,-26.52,2.33,0.42,0.00,0.00,114180543.00,,2045.08,587.07,5.18,Computer Hardware
1,MMM,3M,25.57,11.22,0.09,-3105.00,5.24,582287135.00,607150000.00,123317.88,10311.00,17.30,Industrial Products
1,CAFD,8point3 Energy Partners LP,,,,0.00,0.00,79093305.00,43583000.00,,,,Utilities - Independent Power Producers
1,EGHT,8X8 INC /DE/,-11.86,6.76,0.14,0.00,0.00,95371181.00,92908500.00,1816.98,239.36,2.58,Application Software
1,NCSO,99 CENTS ONLY STORES LLC,,,,0.00,,70731.00,,,74.95,,Retail - Defensive
1,AMRK,"A-Mark Precious Metals, Inc.",-36.86,1.25,0.80,-1.13,0.16,7031450.00,7023775.00,92.82,70.81,9.68,Brokers & Exchanges
1,AHC,A. H. Belo Corp,13.41,,,-10.14,0.47,21872537.00,21746738.00,96.87,,,Publishing
1,AIR,AAR CORP,78.61,1.70,,-10.40,0.30,,34750000.00,1607.09,929.10,27.05,Aerospace & Defense
1,AAN,AARON'S INC,11.32,1.95,0.52,-6.30,0.09,68594784.00,71323500.00,3750.08,1763.51,25.27,Consulting & Outsourcing
1,ABAX,ABAXIS INC,69.24,6.47,0.15,-13.61,0.60,22871000.00,23135000.00,1898.29,290.69,12.82,Medical Diagnostics & Research
1,ABT,ABBOTT LABORATORIES,139.75,4.01,0.25,-1943.00,1.11,1756333032.00,1765974000.00,125574.17,30898.00,17.50,Medical Devices
1,ABBV,AbbVie Inc.,17.72,-45.90,-0.02,-5159.00,3.29,1504216327.00,1572250000.00,143568.19,-2921.00,-1.87,Drug Manufacturers
1,ANF,ABERCROMBIE & FITCH CO /DE/,26.78,1.15,0.90,-53.84,0.79,65845073.00,68153750.00,1320.31,1134.29,16.58,Retail - Apparel & Specialty
1,ABMD,Abiomed Inc,70.08,16.83,0.06,0.00,0.00,45039527.00,46104500.00,18489.88,792.95,17.81,Medical Devices
1,ABM,ABM INDUSTRIES INC /DE/,24.71,1.44,0.69,-45.60,0.70,65851793.00,65600000.00,2114.50,1456.50,22.35,Business Services
1,ACIA,"Acacia Communications, Inc.",-73.38,3.53,0.28,0.00,0.00,40443237.00,40604500.00,1544.56,510.53,12.76,Communication Equipment
1,ACHC,Acadia Healthcare Company Inc,16.21,1.35,0.73,0.00,0.00,88256115.00,87309500.00,3151.40,2708.95,30.74,Health Care Providers
1,ACAD,Acadia Pharmaceuticals Inc,-9.44,10.50,0.09,0.00,0.00,125074557.00,124698000.00,2683.89,223.44,1.79,Biotechnology
1,AKR,ACADIA REALTY TRUST,,,0.90,-88.63,,81550171.00,82617236.00,2226.60,2123.80,,REITs
1,ACLZ,Accelerize Inc.,-1.81,-1.42,-0.70,0.00,0.00,66179709.00,65911435.00,16.48,-6.95,-0.11,
1,ACN,Accenture plc,24.36,9.22,0.10,-1708.72,2.72,674684553.00,655296150.00,115526.24,10724.59,16.49,Consulting
1,ACCO,ACCO BRANDS Corp,5.96,1.16,0.89,-18.90,0.18,102739645.00,108175000.00,1171.76,749.10,7.08,Industrial Products
1,ARAY,ACCURAY INC,-14.00,7.10,0.14,0.00,0.00,86660010.00,85576000.00,358.06,47.11,0.55,Medical Devices
1,ACW,ACCURIDE CORP,-2.70,3.37,0.30,0.00,0.00,48323007.00,47513750.00,124.67,36.88,0.51,
1,ACRX,ACELRX PHARMACEUTICALS INC,-3.66,-4.30,-0.20,0.00,0.00,61907272.00,53329399.00,181.19,-37.79,-0.71,Medical Devices
